Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Memoria Gasta;Comparacoes;Colisoes
1;100000;Sondagem Linear;15/05/2019 17:51;682606300;890380168;5243553;5224300
1;100000;Sondagem Quadratica;15/05/2019 17:51;616274100;890380168;103549;84296
1;100000;Duplo Hashing;15/05/2019 17:51;630962100;892141776;19253;0
1;100000;Encadeamento Separado;15/05/2019 17:51;633743000;892141776;19253;9626
1;100000;Encadeamento Coalescido;15/05/2019 17:51;761103800;892141776;10955076;10932356
2;1000;Sondagem Linear;15/05/2019 22:32:11;40534000;912779544;21621;20040
2;1000;Sondagem Quadratica;15/05/2019 22:32:12;9773700;912779544;51609;50028
2;1000;Duplo Hashing;15/05/2019 22:32:12;1399900;912779544;1581;0
2;1000;Encadeamento Separado;15/05/2019 22:32:12;2083900;912779544;1581;790
2;1000;Encadeamento Coalescido;15/05/2019 22:32:12;11297800;912779544;128287;126316
2;5000;Sondagem Linear;15/05/2019 22:32:33;45478000;876970848;220696;215843
2;5000;Sondagem Quadratica;15/05/2019 22:32:33;35360900;876970848;68515;63662
2;5000;Duplo Hashing;15/05/2019 22:32:33;38077200;876970848;4853;0
2;5000;Encadeamento Separado;15/05/2019 22:32:33;28376400;876970848;4853;2426
2;5000;Encadeamento Coalescido;15/05/2019 22:32:33;55467700;876970848;1076585;1070638
2;10000;Sondagem Linear;15/05/2019 22:33:57;109666800;814402888;387462;380395
2;10000;Sondagem Quadratica;15/05/2019 22:33:58;109305000;814402888;79584;72517
2;10000;Duplo Hashing;15/05/2019 22:33:58;96210500;814402888;7067;0
2;10000;Encadeamento Separado;15/05/2019 22:33:58;93514200;814402888;7067;3533
2;10000;Encadeamento Coalescido;15/05/2019 22:33:58;120313800;814402888;2147685;2139070
1;50000;Sondagem Linear;15/05/2019 22:43:51;620262500;760217488;3122212;3107327
1;50000;Sondagem Quadratica;15/05/2019 22:43:53;673368000;760217488;126280;111395
1;50000;Duplo Hashing;15/05/2019 22:43:54;619737500;760217488;14885;0
1;50000;Encadeamento Separado;15/05/2019 22:43:55;607426800;760217488;14885;7442
1;50000;Encadeamento Coalescido;15/05/2019 22:43:56;746842500;760217488;7428871;7411090
2;50000;Sondagem Linear;15/05/2019 22:58:03;547286800;791353712;2737560;2723023
2;50000;Sondagem Quadratica;15/05/2019 22:58:04;521509000;791353712;115627;101090
2;50000;Duplo Hashing;15/05/2019 22:58:05;545278100;791353712;14537;0
2;50000;Encadeamento Separado;15/05/2019 22:58:06;525791100;791353712;14537;7268
2;50000;Encadeamento Coalescido;15/05/2019 22:58:07;669242600;791353712;6837597;6820312
1;100000;Sondagem Linear;15/05/2019 23:35:47;568068500;891718944;5009457;4990240
1;100000;Sondagem Quadratica;15/05/2019 23:35:48;512934400;892549704;117158;97941
1;100000;Duplo Hashing;15/05/2019 23:35:48;539289800;892549704;19217;0
1;100000;Encadeamento Separado;15/05/2019 23:35:49;525085900;893325640;19217;9608
1;100000;Encadeamento Coalescido;15/05/2019 23:35:50;645517500;894101584;10912137;10889453
2;100000;Sondagem Linear;15/05/2019 23:52:23;732226600;872375552;4914579;4895402
2;100000;Sondagem Quadratica;15/05/2019 23:52:24;611216800;872375552;270824;251647
2;100000;Duplo Hashing;15/05/2019 23:52:25;1004985900;872375552;19177;0
2;100000;Encadeamento Separado;15/05/2019 23:52:26;652574300;873717720;19177;9588
2;100000;Encadeamento Coalescido;15/05/2019 23:52:27;749403000;873717720;10750551;10727946
3;1000;Sondagem Linear;15/05/2019 23:52:30;1063500;856322872;20141;18600
3;1000;Sondagem Quadratica;15/05/2019 23:52:30;2115600;856322872;86980;85439
3;1000;Duplo Hashing;15/05/2019 23:52:30;1037300;856322872;1541;0
3;1000;Encadeamento Separado;15/05/2019 23:52:30;1307400;856322872;1541;770
3;1000;Encadeamento Coalescido;15/05/2019 23:52:30;1917800;856322872;122671;120753
3;5000;Sondagem Linear;15/05/2019 23:52:51;21461100;828591984;190614;185801
3;5000;Sondagem Quadratica;15/05/2019 23:52:51;20758100;828591984;21364;16551
3;5000;Duplo Hashing;15/05/2019 23:52:51;21017700;830698728;4813;0
3;5000;Encadeamento Separado;15/05/2019 23:52:51;23637000;830698728;4813;2406
3;5000;Encadeamento Coalescido;15/05/2019 23:52:51;32505300;830698728;1126373;1120427
3;10000;Sondagem Linear;15/05/2019 23:54:28;43969100;720790128;453953;446892
3;10000;Sondagem Quadratica;15/05/2019 23:54:28;37315200;720790128;81112;74051
3;10000;Duplo Hashing;15/05/2019 23:54:28;43276300;720790128;7061;0
3;10000;Encadeamento Separado;15/05/2019 23:54:28;50119100;720790128;7061;3530
3;10000;Encadeamento Coalescido;15/05/2019 23:54:28;69847300;720790128;2202550;2193911
3;50000;Sondagem Linear;16/05/2019 00:18:37;588055400;834552184;3032150;3017395
3;50000;Sondagem Quadratica;16/05/2019 00:18:38;531134200;834552184;80913;66158
3;50000;Duplo Hashing;16/05/2019 00:18:39;575543800;835451544;14755;0
3;50000;Encadeamento Separado;16/05/2019 00:18:40;569484900;835451544;14755;7377
3;50000;Encadeamento Coalescido;16/05/2019 00:18:40;662661600;835451544;7363124;7345502
3;100000;Sondagem Linear;16/05/2019 01:41:23;1279952600;878228872;5239733;5220474
3;100000;Sondagem Quadratica;16/05/2019 01:41:25;1192531100;878228872;154569;135310
3;100000;Duplo Hashing;16/05/2019 01:41:27;1208711700;878537016;19259;0
3;100000;Encadeamento Separado;16/05/2019 01:41:29;1163406500;880780968;19259;9629
3;100000;Encadeamento Coalescido;16/05/2019 01:41:30;1455763400;880780968;11013851;10991120
4;1000;Sondagem Linear;16/05/2019 01:41:34;2692900;874516688;21829;20252
4;1000;Sondagem Quadratica;16/05/2019 01:41:34;2433200;874516688;6251;4674
4;1000;Duplo Hashing;16/05/2019 01:41:34;3331500;874516688;1577;0
4;1000;Encadeamento Separado;16/05/2019 01:41:34;10578300;874516688;1577;788
4;1000;Encadeamento Coalescido;16/05/2019 01:41:35;5086300;874516688;127444;125480
4;5000;Sondagem Linear;16/05/2019 01:41:59;52593800;853751256;210953;206188
4;5000;Sondagem Quadratica;16/05/2019 01:41:59;34225500;853751256;25129;20364
4;5000;Duplo Hashing;16/05/2019 01:41:59;45935200;853751256;4765;0
4;5000;Encadeamento Separado;16/05/2019 01:41:59;43624600;856660832;4765;2382
4;5000;Encadeamento Coalescido;16/05/2019 01:41:59;62490300;856660832;1009637;1003807
4;10000;Sondagem Linear;16/05/2019 01:44:08;135025700;778976784;492459;485374
4;10000;Sondagem Quadratica;16/05/2019 01:44:08;168778500;778976784;241512;234427
4;10000;Duplo Hashing;16/05/2019 01:44:09;124611900;778976784;7085;0
4;10000;Encadeamento Separado;16/05/2019 01:44:09;127332600;778976784;7085;3542
4;10000;Encadeamento Coalescido;16/05/2019 01:44:09;209317100;778976784;2100800;2092211
4;50000;Sondagem Linear;16/05/2019 02:18:30;902402400;648318000;3379831;3364946
4;50000;Sondagem Quadratica;16/05/2019 02:18:31;904086800;648318000;129785;114900
4;50000;Duplo Hashing;16/05/2019 02:18:32;830331800;648318000;14885;0
4;50000;Encadeamento Separado;16/05/2019 02:18:34;783405300;648318000;14885;7442
4;50000;Encadeamento Coalescido;16/05/2019 02:18:35;1093505900;648318000;7324756;7306989
4;100000;Sondagem Linear;16/05/2019 04:21:49;1819466700;747559368;5206693;5187426
4;100000;Sondagem Quadratica;16/05/2019 04:21:52;1754524000;747559368;263373;244106
4;100000;Duplo Hashing;16/05/2019 04:21:55;1637412000;747559368;19267;0
4;100000;Encadeamento Separado;16/05/2019 04:21:57;1653640800;754532400;19267;9633
